"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 02 02:29:51 GST 2021","Mon Aug 02 02:30:03 GST 2021","12428","","Flight Status of Eurowings flight for a particular route and all seven days - current day +/-3","","Flight Status of Eurowings flight for a particular route and all seven days - current day +/-3","To verify the Flight Status of Next day - Verify the Flight status Panel","To verify the Flight Status of Next day - Verify the Flight status Panel",""
"passed","Mon Aug 02 02:29:36 GST 2021","Mon Aug 02 02:29:51 GST 2021","14489","","Flight Status of Eurowings flight for a particular route and all seven days - current day +/-3","","Flight Status of Eurowings flight for a particular route and all seven days - current day +/-3","@Flight Status - To verify the Flight Status of previos day - Verify the Flight status Panel","@Flight Status - To verify the Flight Status of previos day - Verify the Flight status Panel",""
"passed","Mon Aug 02 02:28:55 GST 2021","Mon Aug 02 02:29:03 GST 2021","8041","","Flight Status of Eurowings flight for a particular route and all seven days - current day +/-3","","Flight Status of Eurowings flight for a particular route and all seven days - current day +/-3","Verify Flight status of current day and next 3 days by selecting date from the calendar","Verify Flight status of current day and next 3 days by selecting date from the calendar",""
"passed","Mon Aug 02 02:28:14 GST 2021","Mon Aug 02 02:28:33 GST 2021","19775","","Flight Status of Eurowings flight for a particular route and all seven days - current day +/-3","","Flight Status of Eurowings flight for a particular route and all seven days - current day +/-3","@Flight Status To verify the flight status of current day - Component header verification","@Flight Status To verify the flight status of current day - Component header verification",""
"passed","Mon Aug 02 02:29:03 GST 2021","Mon Aug 02 02:29:36 GST 2021","33369","","Flight Status of Eurowings flight for a particular route and all seven days - current day +/-3","","Flight Status of Eurowings flight for a particular route and all seven days - current day +/-3","Verify Flight status of current day and previous three days by selecting date from the calander","Verify Flight status of current day and previous three days by selecting date from the calander",""
"passed","Mon Aug 02 02:30:30 GST 2021","Mon Aug 02 02:30:38 GST 2021","7250","","Flight Status of Eurowings flight for a particular route and all seven days - current day +/-3","","Flight Status of Eurowings flight for a particular route and all seven days - current day +/-3","To validate search button for mandatory field selection","To validate search button for mandatory field selection",""
"passed","Mon Aug 02 02:28:33 GST 2021","Mon Aug 02 02:28:55 GST 2021","21595","","Flight Status of Eurowings flight for a particular route and all seven days - current day +/-3","","Flight Status of Eurowings flight for a particular route and all seven days - current day +/-3","@Flight Status To verify the flight status of current day - Flight Status Panel verification","@Flight Status To verify the flight status of current day - Flight Status Panel verification",""
"passed","Mon Aug 02 02:30:07 GST 2021","Mon Aug 02 02:30:28 GST 2021","21219","","Flight Status of Eurowings flight for a particular route and all seven days - current day +/-3","","Flight Status of Eurowings flight for a particular route and all seven days - current day +/-3","To verify the flight status by flight no - Verify the Flight Status Panel","To verify the flight status by flight no - Verify the Flight Status Panel",""
